County,State,Percent Open Water,Percent Developed Open Space,Percent Developed Low Intensity,Percent Developed High Intensity,Percent Developed Medium Intensity,Percent Barren Land,Percent Deciduous Forest,Percent Evergreen Forest,Percent Mixed Forest,Percent Shrub/Scrub,Percent Grassland/Herbaceous,Percent Pasture/Hay,Percent Cultivated Crops,Percent Woody Wetlands,Percent Emergent Herbaceous Wetlands,Precipitation (in),Average Temperature (F),"Lyme Disease Cases per 100,000 Residents",White-tailed Deer Population Estimate
Belknap County,New Hampshire,14.44725,5.627407,3.236349,1.627969,0.427191,0.35667,15.7612,10.36938,35.92176,2.448717,0.749784,2.77508,0.088632,5.626668,0.535929,45.08,45.1,32,4670
Carroll County,New Hampshire,6.056352,3.6266,1.90753,0.840459,0.139359,0.366252,23.9825,16.97434,36.21767,1.75044,0.723201,1.282667,0.129777,5.640477,0.36237,48.21,43.1,25,3497
Cheshire County,New Hampshire,2.743215,4.400183,2.120732,1.271801,0.331022,0.254284,17.53767,19.69792,37.78701,1.873264,0.718668,3.274852,0.4967,6.732731,0.759944,43.83,45.5,39,6546
Coos County,New Hampshire,1.682186,1.463066,0.965347,0.48181,0.110965,0.192029,30.39125,20.94209,32.81159,2.40212,0.701177,1.402847,0.187511,5.978132,0.287882,47.15,39.6,6,4669
Grafton County,New Hampshire,2.093683,2.802299,1.556809,0.874562,0.219738,0.181473,28.80747,22.33517,32.32541,1.994954,0.563303,2.884686,0.291799,2.825631,0.24301,45.69,42.2,30,12047
Hillsborough County,New Hampshire,1.771729,5.693116,6.388127,5.336364,1.747398,0.526757,13.74268,18.52002,30.44321,2.379304,1.15516,3.493628,0.207612,7.809995,0.7849,40.98,46.8,30,14461
Merrimack County,New Hampshire,2.282006,4.080534,3.374439,2.1065,0.591494,0.649522,17.17707,16.69185,36.20964,3.000035,1.093161,3.514945,0.388557,8.201489,0.638753,41.06,45.6,55,7784
Rockingham County,New Hampshire,11.75601,6.058104,7.591691,5.248425,1.704249,0.545916,11.64882,11.48768,22.34192,1.142443,1.208416,3.755967,0.120798,12.91399,2.475564,38.16,47.4,47,12748
Strafford County,New Hampshire,3.78581,6.723357,5.082043,3.229594,0.884769,0.620419,13.15567,12.9824,34.46141,1.860349,1.403026,4.7939,0.069924,9.879303,1.068025,40.15,46,51,5625
Sullivan County,New Hampshire,2.588829,4.109367,2.098889,1.074709,0.263281,0.273098,18.53453,24.23359,34.14,2.50281,0.716662,4.175754,0.551356,4.27977,0.457344,39.97,44,28,5394
Barnstable County,Massachusetts,62.68224,3.427956,6.572312,4.907539,0.887227,2.020807,1.080715,6.122638,6.082809,0.448433,1.162953,0.104226,0.19437,1.30534,3.000433,44.88,51.1,72,1329
Berkshire County,Massachusetts,1.622641,4.406279,2.435742,1.668523,0.519714,0.184445,36.08128,3.996241,32.48487,0.420168,0.44032,5.291139,0.59485,9.297622,0.556162,41.55,45.6,68,7182
Bristol County,Massachusetts,19.6447,6.50873,8.221114,8.955215,3.811552,0.590997,11.15822,5.004416,11.28053,0.401662,1.625179,2.530934,0.7903,18.08754,1.38891,42.61,50.7,102,6950
Dukes County,Massachusetts,78.9173,1.958956,1.557642,0.593061,0.119111,0.978052,7.44064,0.981902,1.412869,2.496561,1.625573,0.218192,0.11127,0.747671,0.841192,43.69,51.4,318,4314
Essex County,Massachusetts,34.20481,4.891376,7.742201,10.50032,4.048937,0.641244,8.918487,4.298818,6.998689,0.13686,0.80199,2.549054,0.140063,9.031324,5.09582,38.18,48.9,39,4124
Franklin County,Massachusetts,3.272049,3.473292,2.339535,1.583472,0.385943,0.198126,24.00785,17.72963,34.15892,0.939755,0.436865,5.460352,1.843884,3.764344,0.405985,43.49,46.7,91,4552
Hampden County,Massachusetts,2.468804,8.18953,7.60411,6.572611,2.424969,0.306135,30.33666,3.605892,24.35665,0.81698,0.684214,2.985349,0.930788,8.374132,0.343176,41.03,48.2,39,5068
Hampshire County,Massachusetts,3.023641,5.286086,4.060733,2.42695,0.683943,0.143234,27.67521,5.606435,31.56092,0.670569,0.470016,5.542875,2.915372,9.482282,0.451737,42.8,47.5,67,2907
Middlesex County,Massachusetts,2.740352,9.24595,13.63853,16.96194,7.41417,0.438028,13.08512,7.383623,12.20107,0.450165,0.83612,2.403148,0.145681,12.03497,1.021123,38.2,49,45,12123
Nantucket County,Massachusetts,83.34988,1.09266,1.678327,1.197723,0.211349,1.251599,2.976961,0.759877,1.14959,1.750528,1.633126,0.118502,0.203896,1.331862,1.294113,38.1,51,278,4371
Norfolk County,Massachusetts,5.439126,10.45176,14.30578,17.57618,6.266387,0.480866,12.5591,4.879185,11.10591,0.325108,0.710228,1.263673,0.07369,13.65026,0.912747,39.23,50,76,2232
Plymouth County,Massachusetts,29.30923,6.381729,7.759174,6.463308,1.91924,0.75109,2.376737,13.65013,10.85331,0.233891,1.509298,0.976298,4.046098,11.98528,1.785189,44.37,50.9,120,6950
Suffolk County,Massachusetts,50.23094,1.597046,3.583291,13.98798,25.46963,0.495186,1.509882,0.11091,0.43003,0.032433,0.409759,0.028669,0.480127,1.634113,4.00E-06,38.53,50.6,14,0
